epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
97,9112.57,0.62788,0.50076,1.01124,0.8772,0.80141,0.89003,0.72111,0.93606,0.73116,1.03311,0.003664,0.003664,0.003664
98,9205.91,0.63643,0.50752,1.01958,0.90434,0.77761,0.89762,0.73385,0.92843,0.7287,1.02407,0.003598,0.003598,0.003598
99,9297.56,0.62453,0.49574,1.00832,0.85734,0.80426,0.89218,0.73024,0.92275,0.65946,1.0163,0.003532,0.003532,0.003532
100,9389.97,0.61944,0.49978,1.01429,0.82018,0.82744,0.88258,0.71281,0.93281,0.63603,1.02904,0.003466,0.003466,0.003466
101,9482.9,0.62834,0.49733,1.00832,0.80162,0.83658,0.88661,0.72656,0.91676,0.64488,1.02884,0.0034,0.0034,0.0034
102,9576.37,0.61727,0.4868,1.00788,0.8558,0.79739,0.89108,0.72826,0.92533,0.69655,1.02401,0.003334,0.003334,0.003334
103,9670.49,0.62043,0.48624,1.00994,0.87417,0.78418,0.89435,0.73442,0.92163,0.66377,1.03019,0.003268,0.003268,0.003268
104,9763.38,0.61291,0.48805,1.00351,0.88466,0.79036,0.88837,0.72358,0.9311,0.67075,1.03458,0.003202,0.003202,0.003202
105,9859.02,0.61656,0.48383,1.00443,0.84791,0.81161,0.89142,0.73232,0.93144,0.70056,1.0318,0.003136,0.003136,0.003136
106,9956.6,0.61226,0.48415,1.00408,0.8585,0.80726,0.88634,0.72243,0.93272,0.67781,1.02943,0.00307,0.00307,0.00307
107,10051.9,0.61157,0.48422,1.00675,0.83607,0.80879,0.8901,0.72388,0.95121,0.67715,1.04208,0.003004,0.003004,0.003004
108,10145.9,0.61133,0.48123,1.00535,0.83543,0.81221,0.8916,0.72603,0.96461,0.65482,1.05122,0.002938,0.002938,0.002938
109,10241.7,0.60264,0.47301,0.99766,0.83929,0.79796,0.88805,0.72868,0.95428,0.6662,1.04059,0.002872,0.002872,0.002872
110,10336.3,0.59937,0.46463,0.99893,0.85085,0.79433,0.88959,0.7283,0.94248,0.66646,1.03174,0.002806,0.002806,0.002806
111,10430.8,0.59121,0.46086,0.99613,0.85518,0.78859,0.89343,0.73337,0.95423,0.66149,1.04035,0.00274,0.00274,0.00274
112,10527,0.59862,0.46639,0.99985,0.88204,0.76514,0.88822,0.7271,0.9206,0.66747,1.02083,0.002674,0.002674,0.002674
113,10622,0.58757,0.46117,0.99616,0.84601,0.81429,0.89559,0.73106,0.9267,0.63333,1.0266,0.002608,0.002608,0.002608
114,10717.2,0.59697,0.46024,0.99962,0.82991,0.82004,0.90373,0.73597,0.91844,0.59899,1.02433,0.002542,0.002542,0.002542
115,10813.5,0.58727,0.46353,0.99229,0.85527,0.80097,0.8995,0.72928,0.92131,0.61121,1.02275,0.002476,0.002476,0.002476
116,10908.1,0.58446,0.45527,0.99247,0.84212,0.81113,0.90379,0.73276,0.91791,0.61135,1.02032,0.00241,0.00241,0.00241
117,11004.5,0.58769,0.45065,0.99433,0.82468,0.84207,0.90498,0.73152,0.92111,0.61782,1.02133,0.002344,0.002344,0.002344
118,11099.2,0.58778,0.45004,0.99541,0.80571,0.86304,0.90226,0.73161,0.91376,0.6217,1.01703,0.002278,0.002278,0.002278
119,11194,0.58309,0.44806,0.99381,0.90336,0.7746,0.89837,0.73036,0.90368,0.65321,1.01046,0.002212,0.002212,0.002212
120,11290.6,0.56717,0.43799,0.98502,0.85144,0.80717,0.89631,0.7202,0.92321,0.66734,1.02424,0.002146,0.002146,0.002146
121,11385.3,0.57143,0.43975,0.98992,0.87697,0.78366,0.89403,0.72066,0.92688,0.65655,1.02754,0.00208,0.00208,0.00208
122,11480.1,0.57164,0.44058,0.98416,0.83652,0.81112,0.88881,0.72207,0.92774,0.65867,1.02857,0.002014,0.002014,0.002014
123,11576.9,0.57335,0.43696,0.98717,0.87135,0.78845,0.89816,0.72816,0.93069,0.63819,1.03094,0.001948,0.001948,0.001948
124,11672.1,0.57178,0.43686,0.99015,0.83611,0.82581,0.89898,0.72781,0.96103,0.65094,1.05362,0.001882,0.001882,0.001882
125,11766.8,0.56359,0.43365,0.98471,0.82893,0.83729,0.89335,0.72968,0.94876,0.6327,1.05031,0.001816,0.001816,0.001816
126,11864,0.56977,0.42836,0.9856,0.81178,0.83802,0.89188,0.7279,0.94675,0.63299,1.04971,0.00175,0.00175,0.00175
127,11959.4,0.5579,0.42232,0.97749,0.84094,0.82762,0.89114,0.72729,0.95091,0.62603,1.05177,0.001684,0.001684,0.001684
128,12054.4,0.56371,0.4288,0.97871,0.85339,0.83461,0.88896,0.72771,0.95362,0.6307,1.05278,0.001618,0.001618,0.001618
129,12150.7,0.55518,0.41938,0.97978,0.85036,0.83242,0.89214,0.72605,0.96791,0.62584,1.06342,0.001552,0.001552,0.001552
130,12246.6,0.55964,0.42217,0.98048,0.83515,0.84352,0.89325,0.72505,0.96988,0.62074,1.06509,0.001486,0.001486,0.001486
131,12342.8,0.54992,0.41611,0.97484,0.83824,0.83659,0.89073,0.72403,0.97053,0.62281,1.06543,0.00142,0.00142,0.00142
132,12437.8,0.55363,0.4205,0.97958,0.83051,0.85474,0.8918,0.71941,0.97119,0.62061,1.07023,0.001354,0.001354,0.001354
133,12530.7,0.54346,0.40662,0.97521,0.83342,0.83964,0.89145,0.72175,0.97123,0.62119,1.0714,0.001288,0.001288,0.001288
134,12624.3,0.54224,0.40664,0.97258,0.83596,0.82842,0.89096,0.72497,0.97893,0.61225,1.07356,0.001222,0.001222,0.001222
135,12719.5,0.54254,0.4065,0.97323,0.82416,0.84535,0.89209,0.72547,0.98373,0.60437,1.07553,0.001156,0.001156,0.001156
136,12813.3,0.53471,0.39715,0.96766,0.82955,0.84942,0.89295,0.72556,0.9858,0.61097,1.07519,0.00109,0.00109,0.00109
137,12905.5,0.54106,0.40471,0.97463,0.82325,0.85157,0.89069,0.72445,0.97822,0.61718,1.06706,0.001024,0.001024,0.001024
138,12997,0.53993,0.40723,0.96983,0.83579,0.84796,0.89257,0.72637,0.97786,0.61833,1.06877,0.000958,0.000958,0.000958
139,13092.6,0.53126,0.3898,0.96815,0.82862,0.8426,0.89047,0.72403,0.97968,0.61701,1.07169,0.000892,0.000892,0.000892
140,13185.8,0.53696,0.4014,0.97065,0.83252,0.8446,0.89118,0.72305,0.97899,0.61828,1.07491,0.000826,0.000826,0.000826
141,13278.8,0.45254,0.2866,0.90109,0.83409,0.8521,0.89119,0.7239,0.97978,0.6333,1.07649,0.00076,0.00076,0.00076
142,13370.6,0.43857,0.27271,0.88968,0.82795,0.85354,0.88962,0.72288,0.9731,0.64053,1.07153,0.000694,0.000694,0.000694
143,13460.9,0.43658,0.2711,0.88871,0.82201,0.8626,0.88968,0.7232,0.9771,0.63415,1.07239,0.000628,0.000628,0.000628
144,13551.1,0.43186,0.26367,0.89298,0.80865,0.86503,0.88914,0.72331,0.9865,0.62654,1.07858,0.000562,0.000562,0.000562
145,13641,0.42492,0.2595,0.89039,0.81109,0.86813,0.8894,0.72331,0.98929,0.62308,1.08078,0.000496,0.000496,0.000496
146,13732.7,0.42448,0.25814,0.89003,0.82548,0.84537,0.88834,0.72252,0.98791,0.625,1.08065,0.00043,0.00043,0.00043
147,13823.8,0.42343,0.25881,0.88402,0.80877,0.86739,0.88864,0.72529,0.98914,0.62362,1.07999,0.000364,0.000364,0.000364
148,13914.2,0.4158,0.25001,0.88442,0.8096,0.87403,0.88889,0.72685,0.99022,0.61745,1.08048,0.000298,0.000298,0.000298
149,14004.6,0.41306,0.25167,0.87738,0.81668,0.87229,0.88901,0.72671,0.98791,0.61947,1.07859,0.000232,0.000232,0.000232
150,14096.2,0.41401,0.25551,0.88214,0.8112,0.86543,0.88796,0.72768,0.98709,0.62126,1.07804,0.000166,0.000166,0.000166
